RUBRO,NOMBRE_FANTASIA,DIRECCION,NUMERO,LOCALIDAD,DEPARTAMENTO,TELEFONOS,CLASE,CATEGORIA,ESTADO,HABITACIONES,PLAZAS,TITULAR,E-MAIL,DIRECCION_COMPLETA,LATITUD,LONGITUD,cluster
PAT,EL EDEN,EL TOLEDANO,500,LAS PAREDES,SAN RAFAEL,0260-154666647,PAT,PAT,INSCRIPTO,,,"BRIZZIO, RICARDO VICTOR",,PAT EL EDEN LAS PAREDES SAN RAFAEL MENDOZA,-34.6002926,-68.4127996,0
ALOJAMIENTO,SU ANGEL,LOS ABEDULES E.,425,CIUDAD,MALARGUE,011-1563695380,CABAÑAS,1 ESTRELLA,INSCRIPTO,5,25.0,"PEIRETTI, SUSANA ALEJANDRA",,ALOJAMIENTO SU ANGEL CIUDAD MALARGUE MENDOZA,-35.484462,-69.5797495,2
PAT,"OCHOA, DARDO RUBEN",25 DE MAYO,980,CIUDAD,SAN RAFAEL,0260-4424623,PAT,PAT,INSCRIPTO,,,"OCHOA, DARDO RUBEN",,"PAT OCHOA, DARDO RUBEN CIUDAD SAN RAFAEL MENDOZA",-34.6128922,-68.3390622,0
VIV.USO TCO.,"DE MARTIS, MANLIO",EDF.LIHUEN,S/N,LAS LEÃÂ¥AS,MALARGUE,0260-4471100,VIV. USO TCO.,VIV. USO TCO.,INSCRIPTO,,,"DE MARTIS, MANLIO",,"VIV.USO TCO. DE MARTIS, MANLIO LAS LEÃÂ¥AS MALARGUE MENDOZA",-35.484462,-69.5797495,2
PAT,AL SOL MENDOZA,LAVALLE,35,CIUDAD,CAPITAL,4298994/4298016,PAT,PAT,INSCRIPTO,,,AL SOL MENDOZA S.A.,info@alsolmendoza.com,PAT AL SOL MENDOZA CIUDAD CAPITAL MENDOZA,-32.8890148,-68.8379443,1
PAT,PARK SUITES,AV.MITRE,753,CIUDAD,CAPITAL,,PAT,PAT,INSCRIPTO,53,180.0,EMPRENDIMIENTOS INMOBILIARIOS S.A.,reservas@parksuites.com.ar,PAT PARK SUITES CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
ALOJAMIENTO,DON ANICETO,SARGENTO MEDINA,3200,EL JUNCALITO,GRAL.ALVEAR,02625-15520728,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,18.0,"FERNANDEZ, SILVIA",,ALOJAMIENTO DON ANICETO EL JUNCALITO GRAL.ALVEAR MENDOZA,-34.9523338,-67.7084268,0
PAT,QUINTA LOS OLIVOS,ROQUE SAENZ PEÃÂ¥A,4045,VISTALBA,LUJAN DE CUYO,4983417,PAT,PAT,INSCRIPTO,,,"FARINA, OSCAR ENRIQUE",www.quintalosolivos.com.ar,PAT QUINTA LOS OLIVOS VISTALBA LUJAN DE CUYO MENDOZA,-33.0455531,-68.9277338,1
PAT,"MERIGGIO, RUBEN DARIO",LOTEO CLUB BCO.MZA.-C12,S/N,CHACRAS DE CORIA,LUJAN DE CUYO,4962129,PAT,PAT,INSCRIPTO,,,"MERIGGIO, RUBEN DARIO",,"PAT MERIGGIO, RUBEN DARIO CHACRAS DE CORIA LUJAN DE CUYO MENDOZA",-32.9809081,-68.8769007,1
PAT,"GIJON, HUMBERTO",ACCESO ESTE,3340,VILLA NUEVA,GUAYMALLEN,4265977,PAT,PAT,INSCRIPTO,6,25.0,"GIJON, HUMBERTO",,"PAT GIJON, HUMBERTO VILLA NUEVA GUAYMALLEN MENDOZA",-32.90131,-68.7826614,1
PAT,NENA,ALSINA,586,CIUDAD,SAN RAFAEL,0260-4421881,PAT,PAT,INSCRIPTO,,,"CORDERO DE CANELA, APOLONIA",,PAT NENA CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
ALOJAMIENTO,LA SOÃÂ¥ADA,COLONIA PEHUENCHE,S/N,FINCA 17,MALARGUE,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,3,,"SERNA, ORBELINDA",faustinocara@hotmail.com,ALOJAMIENTO LA SOÃÂ¥ADA FINCA 17 MALARGUE MENDOZA,-35.484462,-69.5797495,2
PAT,"GOMEZ, MARIO",RIOJA,1372,CIUDAD,CAPITAL,,PAT,PAT,INSCRIPTO,,,"GOMEZ, MARIO",E-mail: departamentos@lanet.com.ar,"PAT GOMEZ, MARIO CIUDAD CAPITAL MENDOZA",-32.8894587,-68.8458386,1
PAT,EL ARCA DE NOE,GUTIERREZ Y MORALES,S/N,RAMA CAIDA,SAN RAFAEL,0260-4441073,PAT,PAT,INSCRIPTO,3,18.0,"NOE, JUAN ALBERTO",,PAT EL ARCA DE NOE RAMA CAIDA SAN RAFAEL MENDOZA,-34.5934396,-68.336654,0
PAT,EL OLIVO,ENTRE RIOS,1002,CIUDAD,SAN RAFAEL,0260-4432935,PAT,PAT,INSCRIPTO,2,12.0,"TOLEDO, BLANCA ADELAIDA",,PAT EL OLIVO CIUDAD SAN RAFAEL MENDOZA,-34.614832,-68.3432555,0
PAT,BALVINO DIAZ,MARCELO T.DE ALVEAR,1425,CIUDAD,SAN RAFAEL,0260-4434068,PAT,PAT,INSCRIPTO,,,BALVINO DIAZ,,PAT BALVINO DIAZ CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
PAT,VIVIENDA DURAN,TORRES,215,CIUDAD,SAN RAFAEL,02627-,PAT,PAT,INSCRIPTO,,,"DURAN, DELIA CASTILLO DE",,PAT VIVIENDA DURAN CIUDAD SAN RAFAEL MENDOZA,-34.622524,-68.3150487,0
PAT,EXCLUSIVE.CTRO.TUR.INTR.,TROPERO SOSA,800,CIUDAD,MAIPU,4814146,PAT,PAT,INSCRIPTO,,,"COPPARONI, MARIA ESTHER-LUMACO",,PAT EXCLUSIVE.CTRO.TUR.INTR. CIUDAD MAIPU MENDOZA,-32.9584934,-68.7895478,1
PAT,"ALVAREZ, JOSE RAMIRO",NECOCHEA,350,CIUDAD,CAPITAL,4295339,PAT,PAT,INSCRIPTO,,,"ALVAREZ, JOSE RAMIRO",CAMBIAR CODIGO ACTIVIDAD COME,"PAT ALVAREZ, JOSE RAMIRO CIUDAD CAPITAL MENDOZA",-32.8894587,-68.8458386,1
PAT,"GRANT, JUAN ARTURO",AV.LOS SAUCES,S/N,LAS PAREDES,SAN RAFAEL,0260-4426526,PAT,PAT,INSCRIPTO,,,"GRANT, JUAN ARTURO",,"PAT GRANT, JUAN ARTURO LAS PAREDES SAN RAFAEL MENDOZA",-34.583333,-68.45,0
ALOJAMIENTO,HOTEL FINCA HERMITAGE,CARRIL URQUIZA,2137,SAN FCO.DEL MONTE,GUAYMALLEN,4261113,ALOJAMIENTO,SIN CATEGORIZAR,E/T,14,32.0,TEATRO AVENIDA S.A.,administracion@fincahermitage.com.ar,ALOJAMIENTO HOTEL FINCA HERMITAGE SAN FCO.DEL MONTE GUAYMALLEN MENDOZA,-32.9285991,-68.7961407,1
PAT,"MORENO, NELLY DEL CARMEN",IRIGOYEN,828,CIUDAD,SAN RAFAEL,0260-4428486,PAT,PAT,INSCRIPTO,,,"MORENO, NELLY DEL CARMEN",,"PAT MORENO, NELLY DEL CARMEN CIUDAD SAN RAFAEL MENDOZA",-34.6128922,-68.3390622,0
PAT,CHARLY,JULIO A.ROCA,43,CIUDAD,MALARGUE,0260-4471163/154400611,PAT,PAT,INSCRIPTO,4,12.0,"DOÃÂ¥A, CARLOS",charlyalquiler@hotmail.com,PAT CHARLY CIUDAD MALARGUE MENDOZA,-35.484462,-69.5797495,2
PAT,CARU LEUFU,RUTA 173,KM23100,VALLE GRANDE,SAN RAFAEL,0260-4434688,PAT,PAT,INSCRIPTO,,,"MAZZONE DE DIEGO, PATRICIA MONICA",,PAT CARU LEUFU VALLE GRANDE SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
PAT,"MONTON, ROBERTO",LITORAL,645,CARRODILLA,LUJAN DE CUYO,4360298,PAT,PAT,INSCRIPTO,,,"MONTON, ROBERTO",E-MAIL MENDOZA-DEPTOS@YAHOO.COM,"PAT MONTON, ROBERTO CARRODILLA LUJAN DE CUYO MENDOZA",-32.966671,-68.8666687,1
PAT,CALDERON,H.YRIGOYEN,2480,LAS PAREDES,SAN RAFAEL,0260-4426927/4426660,CABAÑAS,CABAÃÂ¥AS,INSCRIPTO,,,"CALDERON,EDUARDO ANGEL",info@cabanascalderon.com.ar / www.cabanascalderon.com.ar,PAT CALDERON LAS PAREDES SAN RAFAEL MENDOZA,-34.583333,-68.45,0
CABAÑAS,LOS ALAMOS,ALFONSO CAPDEVILA,448,CIUDAD,MALARGUE,0260-4470958/154553457,CABAÑAS,1 ESTRELLA,INSCRIPTO,2,7.0,"BRAMUCCI DE LUCERO, SUSANA",cabanaslosalamos@yahoo.com.ar,CABAÃÂ¥AS LOS ALAMOS CIUDAD MALARGUE MENDOZA,-35.4657494,-69.5911715,2
PAT,COLORINA,CANADA,329,CIUDAD,SAN RAFAEL,0260-4437397,PAT,PAT,INSCRIPTO,,,"TARAZAGA Y SANCHEZ, ISABEL",,PAT COLORINA CIUDAD SAN RAFAEL MENDOZA,-34.6035508,-68.3557226,0
PAT,"MERALAGNO, SILVIO",SANTA FE,735,CIUDAD,CAPITAL,4975318-156560049,PAT,PAT,INSCRIPTO,,,"MELARAGNO, SILVIO",,"PAT MERALAGNO, SILVIO CIUDAD CAPITAL MENDOZA",-32.8894587,-68.8458386,1
PAT,CASONA RIO MENDOZA,RUTA PROV. 82,KM 29,COLONIA SUIZA,LAS HERAS,4240652-156510321,PAT,PAT,INSCRIPTO,,,"BORSANI, IRMA EDITH",,PAT CASONA RIO MENDOZA COLONIA SUIZA LAS HERAS MENDOZA,-32.8518022,-68.8412763,1
PAT,KILOMETRO 0,AV.EL LIBERTADOR,70,CIUDAD,SAN RAFAEL,,PAT,PAT,INSCRIPTO,,,"FRACARO, NESTOR ALEJANDRO",,PAT KILOMETRO 0 CIUDAD SAN RAFAEL MENDOZA,-34.6161932,-68.3299107,0
PAT,BALCON DEL ATUEL,RUTA 173,KM24,VALLE GRANDE,SAN RAFAEL,,PAT,PAT,INSCRIPTO,,,"CASTILLO, DAMIAN ALBERTO",,PAT BALCON DEL ATUEL VALLE GRANDE SAN RAFAEL MENDOZA,-34.7985719,-68.4517786,0
CABAÑAS,ARCO IRIS,RUTA 40,S/N,CAÃÂ¥ADA COLORADA,MALARGUE,0260-4471129 -154678361,CABAÑAS,1 ESTRELLA,INSCRIPTO,3,15.0,"MARTINEZ, PATRICIA ALEJANDRA",cabanasarcoiris@rucared.com.ar,CABAÃÂ¥AS ARCO IRIS CAÃÂ¥ADA COLORADA MALARGUE MENDOZA,-35.484462,-69.5797495,2
PAT,CRIS-AL,CASTELLI,1112,CIUDAD,SAN RAFAEL,0260-4432980,PAT,PAT,INSCRIPTO,,,"MARTINEZ, MARIA CARMEN",,PAT CRIS-AL CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
PAT,APART NÃÂ§102,DAY,10,CIUDAD,SAN RAFAEL,0260-4495162,PAT,PAT,INSCRIPTO,,,"BERTOLDI, VICTOR HUGO",,PAT APART NÃÂ§102 CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
VIV.USO TCO.,"MATHIEU, CLAUDIA MARIA",SAN MARTIN,969/977,CIUDAD,LAS HERAS,4483546,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"MATHIEU, CALUDIA MARIA",,"VIV.USO TCO. MATHIEU, CLAUDIA MARIA CIUDAD LAS HERAS MENDOZA",-32.8491211,-68.8156204,1
PAT,APARTAMENTOS MILENIUM,DAY,20,CIUDAD,SAN RAFAEL,0260-4433034,PAT,PAT,INSCRIPTO,,,"QUIROGA, JORGE ALBERTO",,PAT APARTAMENTOS MILENIUM CIUDAD SAN RAFAEL MENDOZA,-34.6138055,-68.3291747,0
ALOJAMIENTO,FINCA ADALGISA,PUEYRREDON,2222,CHACRAS DE CORIA,LUJAN DE CUYO,4960713,ALOJAMIENTO,SIN CATEGORIZAR,E/T,11,22.0,BODEGA FURLOTE S.A.,reservas@fincaadalgisa.com.ar,ALOJAMIENTO FINCA ADALGISA CHACRAS DE CORIA LUJAN DE CUYO MENDOZA,-32.9935405,-68.8886292,1
PAT,RUCAFEL,AV.MITRE,753,CIUDAD,CAPITAL,,PAT,PAT,INSCRIPTO,,,"CARNIELO GONZALEZ, IVANA",,PAT RUCAFEL CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
HOSPEDAJE,RUCAFEL,AV.MITRE,753,CIUDAD,CAPITAL,,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,,,"CARNIELO GONZALEZ, GISELA",,HOSPEDAJE RUCAFEL CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
APART-HOTEL,APART CAVIS,AV.BALLOFET,150,CIUDAD,SAN RAFAEL,0260-4437770,APART-HOTEL,1 ESTRELLA,INSCRIPTO,6,40.0,"CRUZ, LUISA GLADYS",apartcavis@hotmail.com,APART-HOTEL APART CAVIS CIUDAD SAN RAFAEL MENDOZA,-34.6144566,-68.3410489,0
ALOJAMIENTO,PORTAL DEL SOL,PASO DE LOS ANDES,126,CIUDAD,CAPITAL,156267853,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"SCILIPOTTI, SERGIO RICARDO",sergio_scilipotti@hotmail.com,ALOJAMIENTO PORTAL DEL SOL CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
VIV.USO TCO.,"LLORCA, CAROLINA",PERU,730,CIUDAD,CAPITAL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"LLORCA, CAROLINA",,"VIV.USO TCO. LLORCA, CAROLINA CIUDAD CAPITAL MENDOZA",-32.8929184,-68.8494724,1
PAT,NIETO VICTOR HUGO,PUEYRREDON,291,CIUDAD,SAN RAFAEL,,PAT,PAT,INSCRIPTO,,,"NIETO, VICTOR HUGO",,PAT NIETO VICTOR HUGO CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
PAT,CABAÃÂ¥AS EL VALLE,BALLOFFET,1758,CIUDAD,SAN RAFAEL,0260-4428487,PAT,PAT,INSCRIPTO,,,"DEL VAL,MARTA",,PAT CABAÃÂ¥AS EL VALLE CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
PAT,OSCAR RICO,BUENOS AIRES,66,CIUDAD,CAPITAL,4257377,PAT,PAT,INSCRIPTO,,,"RICO, OSCAR",,PAT OSCAR RICO CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
PAT,DULCE ESTAR,COMTE.TORRES,838,CIUDAD,SAN RAFAEL,0260-4438655,PAT,PAT,INSCRIPTO,6,36.0,"CARRIO LOPEZ, FRANCISCA",dulcestar@uolsinectis.com.ar,PAT DULCE ESTAR CIUDAD SAN RAFAEL MENDOZA,-34.627385,-68.3282845,0
APART-HOTEL,SOLAR MAITEN,V.LOPEZ,2797,CIUDAD,SAN RAFAEL,0260-4420926,APART-HOTEL,1 ESTRELLA,INSCRIPTO,10,20.0,"FERNANDEZ, ALEJANDRO HUGO",,APART-HOTEL SOLAR MAITEN CIUDAD SAN RAFAEL MENDOZA,-34.6126223,-68.3592182,0
PAT,MALLORCA,LAS HERAS 64 AL 72,S/N,CIUDAD,SAN RAFAEL,0260-4423585,PAT,PAT,INSCRIPTO,,,"ALCOVER, CARMEN",,PAT MALLORCA CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
PAT,CASA DEL TURISTA,LENCINAS Y MONTECASEROS,S/N,CIUDAD,SAN RAFAEL,,PAT,PAT,INSCRIPTO,,,"DICARLO, MARCELINO",,PAT CASA DEL TURISTA CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
PAT,DEPARTAMENTO SOL Y PAZ,AV.BALLOFET,849,CIUDAD,SAN RAFAEL,0260-154665195,PAT,PAT,INSCRIPTO,,,"GENTILE, HECTOR ALBERTO",,PAT DEPARTAMENTO SOL Y PAZ CIUDAD SAN RAFAEL MENDOZA,-34.6157088,-68.2766071,0
VIV.USO TCO.,OLIVOS Y RETAMOS,AV.BALLOFET,17,CIUDAD,SAN RAFAEL,0260-4421858,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"GARRIDO, MABEL ELISA",,VIV.USO TCO. OLIVOS Y RETAMOS CIUDAD SAN RAFAEL MENDOZA,-34.6132568,-68.3389056,0
PAT,APARTAMENTOS CORDILLERA,AV.JUAN B.JUSTO,144,CIUDAD,CAPITAL,4234597,PAT,PAT,INSCRIPTO,5,26.0,"MATEOS, CANDIDA LUVINA",apartcordillera@hotmail.com,PAT APARTAMENTOS CORDILLERA CIUDAD CAPITAL MENDOZA,-34.5869034,-68.1431414,0
PAT,VIRGINIA DEPARTAMENTOS,CORRIENTES,193,CIUDAD,SAN RAFAEL,0260-4427367-4438772,PAT,PAT,INSCRIPTO,,,"BOSCHI, CECILIA MARINA",,PAT VIRGINIA DEPARTAMENTOS CIUDAD SAN RAFAEL MENDOZA,-34.6154954,-68.3395331,0
APART-HOTEL,SOLTIGUA APART,AV.JUAN B.JUSTO,626,CIUDAD,CAPITAL,4200332,APART-HOTEL,1 ESTRELLA,INSCRIPTO,32,120.0,SOLTIGUA MENDOZA S.A.,reservas@apartsoltigua.com.ar,APART-HOTEL SOLTIGUA APART CIUDAD CAPITAL MENDOZA,-32.8838014,-68.8577573,1
PAT,DEP.DE JUAN Y OLGA MUÃÂ¥OZ,PROVINCIA DE MENDOZA,742,CIUDAD,SAN RAFAEL,0260-4423614,PAT,PAT,INSCRIPTO,,,"MUÃÂ¥OZ, JUAN",alquilersanrafael@gmail.com,PAT DEP.DE JUAN Y OLGA MUÃÂ¥OZ CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
VIV.USO TCO.,STONE ALFREDO,AV.GODOY CRUZ,340,CIUDAD,CAPITAL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"STONE,ALFREDO",,VIV.USO TCO. STONE ALFREDO CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
PAT,DEPARTAMENTOS NOELIA,ALSINA,331,CIUDAD,SAN RAFAEL,,PAT,PAT,INSCRIPTO,,,"AZOR, ALEJANDRA Y HUGO",,PAT DEPARTAMENTOS NOELIA CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
ALOJAMIENTO,CASA FUERTE,LAS HERAS,252,25 DE MAYO,SAN RAFAEL,0260-4495020,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,10.0,"DIAZ, MARIA CRISTINA",www.posadacasafuerte.com.ar,ALOJAMIENTO CASA FUERTE 25 DE MAYO SAN RAFAEL MENDOZA,-34.6239273,-68.3394739,0
PAT,DEPARTAMENTOS AVELLANEDA,AVELLANEDA,197,CIUDAD,CAPITAL,,PAT,PAT,INSCRIPTO,,,"SANCHEZ, CARLOS",,PAT DEPARTAMENTOS AVELLANEDA CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
PAT,LA CASONA DEL ENCUENTRO,JUAN DE DIOS VIDELA,S/N,VISTA FLORES,TUNUYAN,02622-15527056,PAT,PAT,INSCRIPTO,,,"BARCAT, LUCIA DEL CARMEN",,PAT LA CASONA DEL ENCUENTRO VISTA FLORES TUNUYAN MENDOZA,-33.6133205,-69.1790516,3
ALOJAMIENTO,HOTEL TUNUYAN,AV.SAN MARTIN,1248,CIUDAD,TUNUYAN,02622-422134,ALOJAMIENTO,SIN CATEGORIZAR,E/T,18,48.0,CENTROTUR EMPRENDIMIENTOS S.A.,noraestevez@yahoo.com.ar,ALOJAMIENTO HOTEL TUNUYAN CIUDAD TUNUYAN MENDOZA,-33.5768519,-69.016492,3
PAT,LO DE LUIS,RUTA 143,"KM.7,5",LAS PAREDES,SAN RAFAEL,0260-154661967,PAT,PAT,INSCRIPTO,2,14.0,"CERRUTI, LUIS ALBERTO",,PAT LO DE LUIS LAS PAREDES SAN RAFAEL MENDOZA,-34.583333,-68.45,0
CABAÑAS,PIEDRAS NEGRAS,ALFONSO CAPDEVILA,343,CIUDAD,MALARGUE,0260-4471986,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,,,"VILLEGAS,CLEMIRO Y BLANCO, RAMONA",,CABAÃÂ¥AS PIEDRAS NEGRAS CIUDAD MALARGUE MENDOZA,-35.484462,-69.5797495,2
CABAÑAS,3 V,ESQUIVEL ALDAO,275,CIUDAD,MALARGUE,0260-4470527-154401078,CABAÑAS,1 ESTRELLA,INSCRIPTO,5,22.0,"PUCINERI, MIGUEL ANGEL",mpucineri@infovia.com.ar,CABAÃÂ¥AS 3 V CIUDAD MALARGUE MENDOZA,-35.484462,-69.5797495,2
VIV.USO TCO.,MILLENNIUM TOWER,AV.COLON,423,CIUDAD,CAPITAL,4235071,ALOJAMIENTO,SIN CATEGORIZAR,E/T,27,80.0,MILLENNIUM TOWER S.A.,mtreservas@apartmendoza.com.ar,VIV.USO TCO. MILLENNIUM TOWER CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
ALOJAMIENTO,MARIA RITA JUAN,RICARDO ROJAS,370,CIUDAD,GODOY CRUZ,4521343,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"JUAN, MARIA RITA",mara_rita_juan@hotmail.com,ALOJAMIENTO MARIA RITA JUAN CIUDAD GODOY CRUZ MENDOZA,-32.9361253,-68.8365026,1
ALOJAMIENTO,SUD STAR,ADOLFO CALLE,1915,DORREGO,GUAYMALLEN,4318237,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,5.0,"SANDRI, HECTOR VICENTI",,ALOJAMIENTO SUD STAR DORREGO GUAYMALLEN MENDOZA,-32.8968869,-68.8504996,1
ALOJAMIENTO,RADIO CLUB,RUTA 173,KM.26,VALLE GRANDE,SAN RAFAEL,260-4427191,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"ARNEDILLO, VICENTE OMAR",,ALOJAMIENTO RADIO CLUB VALLE GRANDE SAN RAFAEL MENDOZA,-34.8479765,-68.5202434,0
VIV.USO TCO.,SALVADOR PEREZ,AV.COLON,631,CIUDAD,CAPITAL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,3.0,"PEREZ, SALVADOR LEONIDAS",,VIV.USO TCO. SALVADOR PEREZ CIUDAD CAPITAL MENDOZA,-34.5869034,-68.1431414,0
PAT,LA CANDELARIA,LAS DELICIAS,98,EL CHALLAO,LAS HERAS,4445707,PAT,PAT,INSCRIPTO,5,30.0,"CHIOFALO, FRANCISCO",,PAT LA CANDELARIA EL CHALLAO LAS HERAS MENDOZA,-32.8523904,-68.8962314,1
PAT,FIDEL ANTONIO TIZZA,CORONEL SUAREZ,632,CIUDAD,SAN RAFAEL,0260-4421611,PAT,PAT,INSCRIPTO,1,4.0,"TIZZA, FIDEL ANTONIO",,PAT FIDEL ANTONIO TIZZA CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
PAT,SAN VICENTE DE LAS VIÃÂ¥AS,CUBILLOS,3950,RAMA CAIDA,SAN RAFAEL,0260-4441355,PAT,PAT,INSCRIPTO,,,"LEZCANO, MARCELA ADRIANA",www.cabsanvicente.com.ar,PAT SAN VICENTE DE LAS VIÃÂ¥AS RAMA CAIDA SAN RAFAEL MENDOZA,-34.5934396,-68.336654,0
VIV.USO TCO.,MENDOZA,LAVALLE,35,CIUDAD,CAPITAL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,1,4.0,"SANTANDER, ANA MARIA",,VIV.USO TCO. MENDOZA CIUDAD CAPITAL MENDOZA,-32.8894587,-68.8458386,1
VIV.USO TCO.,LA MAGDALENA,HUARPES,2054,CIUDAD,CAPITAL,4381618,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,10.0,"RAGO, MARIA MAGDALENA",info@lamagdalenamendoza.com.ar,VIV.USO TCO. LA MAGDALENA CIUDAD CAPITAL MENDOZA,-32.8761677,-68.8578654,1
VIV.USO TCO.,LUZ DE PLATA,CMTE. RODRIGUEZ OESTE,674,MALARGUE,MALARGUE,0260-4472385,VIV. USO TCO.,VIV. USO TCO.,INSCRIPTO,2,9.0,"PYLYPEC, PATRICIA",cabaniasluzdeplata@yahoo.com.ar,VIV.USO TCO. LUZ DE PLATA MALARGUE MALARGUE MENDOZA,-35.4698612,-69.5942757,2
PAT,GAS-MAR,AV.SARMIENTO,1343,CIUDAD,SAN RAFAEL,0260-4436505,PAT,PAT,INSCRIPTO,3,15.0,"LOPEZ, MIGUEL ANGEL",,PAT GAS-MAR CIUDAD SAN RAFAEL MENDOZA,-34.6203292,-68.3518371,0
VIV.USO TCO.,LAS TERTULIAS,LUCERO,S/N,ALTO VERDE,SAN MARTIN,0263-4432787,ALOJAMIENTO,SIN CATEGORIZAR,INSCRIPTO,2,6.0,"LUCENTINI, OSCAR EDUARDO",,VIV.USO TCO. LAS TERTULIAS ALTO VERDE SAN MARTIN MENDOZA,-33.1078987,-68.3988723,1
VIV.USO TCO.,AZARES DE MONTAÃÂ¥A,CORNU,367,CIUDAD,SAN RAFAEL,0260-4420794,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"IBAÃÂ¥EZ, NILDA ESTHER",,VIV.USO TCO. AZARES DE MONTAÃÂ¥A CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
CABAÑAS,ALTO MALARGUE,CMTE. RODRIGUEZ OESTE,620,MALARGUE,MALARGUE,0260-4472129-154405445,CABAÑAS,1 ESTRELLA,INSCRIPTO,2,14.0,"NORMAN, DARIO",info@altomalargue.com.ar,CABAÃÂ¥AS ALTO MALARGUE MALARGUE MALARGUE MENDOZA,-35.484462,-69.5797495,2
HOSPEDAJE,CABAÃÂ¥AS ANDRES,RUTA 40 N.,1090,CIUDAD,MALARGUE,0260-4471032/154663353,HOSPEDAJE,HOSPEDAJE,INSCRIPTO,3,15.0,"MARTINEZ,PABLO FABIAN",info@cabanasandres.com,HOSPEDAJE CABAÃÂ¥AS ANDRES CIUDAD MALARGUE MENDOZA,-35.484462,-69.5797495,2
VIV.USO TCO.,DEL MONTAÃÂ¥EZ,RUTA PROV.82,KM.39,CACHEUTA,LAS HERAS,02624-490122,ALOJAMIENTO,SIN CATEGORIZAR,E/T,4,26.0,"BARROS, HECTOR OSVALDO",cabanasdelmontanez@yahoo.com.ar,VIV.USO TCO. DEL MONTAÃÂ¥EZ CACHEUTA LAS HERAS MENDOZA,-32.8445049,-68.8467413,1
PAT,LOMAS,PASAJE COMUNERO,S/N,POTRERILLOS,LUJAN DE CUYO,,PAT,PAT,INSCRIPTO,,,"MUÃÂ¥OZ, ROBERTO",,PAT LOMAS POTRERILLOS LUJAN DE CUYO MENDOZA,-32.9507408,-69.2056274,1
ALOJAMIENTO,EL ABRAZO,EJERCITO DE LOS ANDES,9000,RAMA CAIDA,SAN RAFAEL,0260-154672132,ALOJAMIENTO,SIN CATEGORIZAR,E/T,6,36.0,"BATTOCCHIA, CLAUDIO",,ALOJAMIENTO EL ABRAZO RAMA CAIDA SAN RAFAEL MENDOZA,-34.6661668,-68.3886981,0
VIV.USO TCO.,JORGE JEREZ,MAYORGA,1580,CIUDAD,SAN RAFAEL,,ALOJAMIENTO,SIN CATEGORIZAR,E/T,,,"JEREZ, JORGE HUGO",,VIV.USO TCO. JORGE JEREZ CIUDAD SAN RAFAEL MENDOZA,-34.6128922,-68.3390622,0
